Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,SE Palmeiras,30.0,25.3,8,€ 7.43 mi.,€ 223.00 mi.,
,CR Flamengo,27.0,28.8,9,€ 8.12 mi.,€ 219.20 mi.,
,Cruzeiro EC,32.0,26.3,5,€ 5.20 mi.,€ 166.55 mi.,
,SC Corinthians,34.0,27.0,7,€ 4.54 mi.,€ 154.30 mi.,
,Botafogo FR,33.0,26.7,14,€ 3.49 mi.,€ 115.25 mi.,
,EC Bahia,32.0,26.6,6,€ 3.57 mi.,€ 114.35 mi.,
,Fluminense FC,34.0,28.1,12,€ 3.31 mi.,€ 112.63 mi.,
,Grêmio FBPA,33.0,26.7,11,€ 3.15 mi.,€ 103.85 mi.,
,CR Vasco da Gama,28.0,26.3,9,€ 3.61 mi.,€ 101.20 mi.,
,Santos FC,35.0,26.7,8,€ 2.83 mi.,€ 98.95 mi.,
,RB Bragantino,35.0,25.5,7,€ 2.54 mi.,€ 89.00 mi.,
,Atlético Mineiro,36.0,25.2,9,€ 2.46 mi.,€ 88.45 mi.,
,São Paulo FC,39.0,26.6,9,€ 2.14 mi.,€ 83.55 mi.,
,SC Internacional,30.0,27.1,10,€ 2.39 mi.,€ 71.60 mi.,
,Athletico Paranaense,30.0,25.5,10,€ 1.58 mi.,€ 47.48 mi.,
,EC Vitória,38.0,28.0,6,€ 1.01 mi.,€ 38.30 mi.,
,Coritiba FC,30.0,28.8,3,€ 1.20 mi.,€ 36.00 mi.,
,Clube do Remo,37.0,28.5,10,€ 831 mil,€ 30.75 mi.,
,Mirassol FC,32.0,30.9,2,€ 950 mil,€ 30.40 mi.,
,Chapecoense,39.0,27.9,3,€ 453 mil,€ 17.65 mi.,
,,,664.0,27.1 Anos,158,€ 2.93 mi.,€ 1.94 Bi.
